record_id,standard_acronym,project_public_id,project_name,country_standard,project_type,project_status,geometry_type,wkt
VCS_5827_2026-04-01,VCS,5827,Scaw Electric Arc Furnace Efficiency Project,South Africa,VCS Version 3,Under development,Point,POINT (28.1675 26.27805)
VCS_5833_2026-04-01,VCS,5833,1397 TPD Bundled Composting Project by EOFPL,India,VCS Version 3,Under validation,Point,POINT (88.448059 26.745685)
VCS_5836_2026-04-01,VCS,5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,Brazil,VCS Version 3,Under development,Point,POINT (62.850833 6.400553)
VCS_5841_2026-04-01,VCS,5841,EnviroServ Waste-to-Energy Grouped Project,South Africa,VCS Version 3,Under development,Point,POINT (22.9375 -30.5595)
VCS_5845_2026-04-01,VCS,5845,Nunukan Mangrove & Peatland Project,Indonesia,VCS Version 3,Under validation,Point,POINT (117.352101 3.954773)
VCS_5846_2026-04-01,VCS,5846,"Beetle Regen: Advancing Low-Emission Regenerative Agriculture through Improved land management in Aurangabad, Maharashtra",India,VCS Version 3,Under development,Point,POINT (75.3 19.66)
VCS_5850_2026-04-01,VCS,5850,NAM KAIO HYDRO POWER PROJECT,Lao People's Democratic Republic,VCS Version 3,Under development,Point,POINT (103.865692 19.17875)
VCS_5851_2026-04-01,VCS,5851,10.2MW Nam Yeim Hydro Power Project,Lao People's Democratic Republic,VCS Version 3,Under development,Point,POINT (103.985888 19.035944)
VCS_5860_2026-04-01,VCS,5860,Ningxia Junfeng Siguquan Coal Mine Well No.2 CMM Heating Project,China,VCS Version 3,Under validation,Point,POINT (106.749177 37.179012)
VCS_5862_2026-04-01,VCS,5862,Tubura Forest Landscape Restoration Program,Rwanda,VCS Version 3,Under validation,Point,POINT (30.0619 -1.9441)
VCS_5871_2026-04-01,VCS,5871,"Biogas Plant at Gujjar Colony, Lahore",Pakistan,VCS Version 3,Under validation,Point,POINT (74.3301 31.4214)
VCS_5876_2026-04-01,VCS,5876,Kablaki Agroforestry for Small Farmers Program,Timor-Leste,VCS Version 3,Under development,Point,POINT (125.828 9.0145)
VCS_5878_2026-04-01,VCS,5878,GEOPOLY Geopolymer Cement Project in Jiaozuo,China,VCS Version 3,Under validation,Point,POINT (113.443432 35.371546)
